Owl_ID,Stations_ID,Owl_Species_ID,Owl_Number,Minute_1,Minute_2,Minute_6-12,Owl_Distance,Owl_Direction,Owl_Comments
93,60,Specd,4,TRUE,TRUE,TRUE,500,S,6 min. plus; pair (# 3 & 4)
94,61,Specd,1,FALSE,TRUE,TRUE,500,NW,6 min. plus; the first three owls are on the other side of the river
95,61,Specd,2,FALSE,TRUE,TRUE,500,NW,6 min. plus; the first three owls are on the other side of the river
96,61,Specd,3,FALSE,TRUE,TRUE,500,NW,6 min. plus; the first three owls are on the other side of the river
97,61,Specd,4,FALSE,TRUE,TRUE,500,S,7 min. plus
98,61,Specd,5,FALSE,TRUE,TRUE,500,S,7 min. plus
99,63,Mottd,1,FALSE,FALSE,TRUE,100,S,8 min. plus
100,64,Mottd,1,TRUE,TRUE,TRUE,300,S,6 min. plus
101,64,Specd,2,FALSE,TRUE,TRUE,150,S,6 min. plus
103,66,Specd,1,FALSE,FALSE,TRUE,200,S,9 min. plus
104,67,Mottd,1,FALSE,TRUE,TRUE,200,SW,6 min plus
105,67,Mottd,2,FALSE,TRUE,FALSE,500,S,
106,69,Specd,1,FALSE,FALSE,TRUE,500,W,8 min.; other side of the river
107,69,FerPy,2,FALSE,FALSE,TRUE,500,W,9 min.; other side of the river
108,70,Specd,1,TRUE,TRUE,TRUE,500,W,6 min. plus
109,71,Specd,1,TRUE,TRUE,TRUE,500,W,7 min. plus
110,71,FerPy,2,FALSE,FALSE,TRUE,300,W,6 min. plus
